Translation initiation and protein production rates (PPRs) for the TASEP-init and TASEP-elong models.
"Successful initiation rate" was estimated as the number of successful initiation events divided by the total simulation time, whereas "initiation rate" gives the rate of initiation attempts.
Gene	TASEP-init initiation rate	TASEP-init successful initiation rate	TASEP-init PPR	TASEP-elong initiation rate	TASEP-elong successful initiation rate	TASEP-elong PPR
YLR268W	3.922417e-05	3.826432e-05	3.823953e-05	2.343707e-05	2.325090e-05	2.324588e-05
YOR011W	2.012935e-05	1.938229e-05	1.935522e-05	1.403905e-05	1.368410e-05	1.364593e-05
YAL008W	4.438443e-05	4.261330e-05	4.260478e-05	4.447027e-05	4.171327e-05	4.171327e-05
YOR043W	1.093388e-05	1.101566e-05	1.101028e-05	8.495343e-06	8.198532e-06	8.190533e-06
YBR255W	1.630858e-05	1.630689e-05	1.629554e-05	1.132018e-05	1.132717e-05	1.130354e-05
YIL034C	3.709682e-05	3.630783e-05	3.629733e-05	2.503593e-05	2.458118e-05	2.458118e-05
YJR122W	4.584029e-06	4.519756e-06	4.517502e-06	1.045100e-05	1.037594e-05	1.037594e-05
YNL103W	1.607251e-05	1.637356e-05	1.636252e-05	1.746749e-05	1.601379e-05	1.599222e-05
YPL144W	2.633970e-05	2.548372e-05	2.547990e-05	1.093388e-05	1.038597e-05	1.038441e-05
YBR135W	9.081996e-05	8.719277e-05	8.716626e-05	2.183552e-05	2.086223e-05	2.085906e-05
YBR160W	3.448391e-05	3.376961e-05	3.377974e-05	1.795037e-05	1.783237e-05	1.784307e-05
YJL082W	6.586203e-05	6.453734e-05	6.453734e-05	4.496388e-05	4.208460e-05	4.205375e-05
YHR007C	1.743257e-04	1.621903e-04	1.620178e-04	7.042523e-05	6.680874e-05	6.663134e-05
YHR067W	1.777868e-05	1.764890e-05	1.764392e-05	1.337510e-05	1.331607e-05	1.331607e-05
YLR395C	1.170799e-04	1.118840e-04	1.118751e-04	7.714897e-05	6.861143e-05	6.860594e-05
YLR348C	3.112120e-05	3.050557e-05	3.049642e-05	1.795037e-05	1.786120e-05	1.786120e-05
YKL074C	1.386736e-05	1.377701e-05	1.376972e-05	1.313902e-05	1.325408e-05	1.325408e-05
YNL152W	6.928671e-06	6.975071e-06	6.972205e-06	1.241470e-05	1.229920e-05	1.229415e-05
YFL045C	1.730219e-04	1.619605e-04	1.620020e-04	5.850794e-05	5.748407e-05	5.746935e-05
YFL010C	1.044082e-04	9.594035e-05	9.591992e-05	2.012935e-05	1.955396e-05	1.954147e-05
YIL124W	3.671052e-05	3.557012e-05	3.557012e-05	2.073027e-05	2.005559e-05	2.004959e-05
YGL141W	2.599632e-05	2.575082e-05	2.570387e-05	1.746749e-05	1.754355e-05	1.751160e-05
YOR123C	4.085321e-05	4.105460e-05	4.101635e-05	2.529347e-05	2.421942e-05	2.418558e-05
YJL179W	7.406157e-05	6.986642e-05	6.985866e-05	3.709682e-05	3.516087e-05	3.515697e-05
YKL183W	1.777868e-05	1.799022e-05	1.798468e-05	1.313902e-05	1.309868e-05	1.309062e-05
YLR362W	2.130972e-05	2.061927e-05	2.057486e-05	1.598666e-05	1.552395e-05	1.551279e-05
YPL024W	1.442536e-05	1.424264e-05	1.423918e-05	1.110557e-05	1.067666e-05	1.067407e-05
YKL029C	8.425935e-05	7.542358e-05	7.552482e-05	3.129289e-05	2.959423e-05	2.961411e-05
YLR220W	3.187235e-05	3.169316e-05	3.167262e-05	2.256521e-05	2.216297e-05	2.215579e-05
YBR273C	4.601012e-05	4.512831e-05	4.510855e-05	3.259667e-05	3.057382e-05	3.056043e-05
YHR025W	6.467294e-05	6.506887e-05	6.504552e-05	3.671052e-05	3.499114e-05	3.497858e-05
YAL026C	1.122591e-04	1.018973e-04	1.023137e-04	6.287766e-05	5.668610e-05	5.660929e-05
YOL034W	2.762604e-05	2.727083e-05	2.724099e-05	1.313902e-05	1.387852e-05	1.389372e-05
YBL008W	9.149911e-06	9.133412e-06	9.125724e-06	2.300784e-05	2.224438e-05	2.226312e-05
YGL237C	1.006470e-05	1.006430e-05	1.006161e-05	5.624900e-06	5.433541e-06	5.432090e-06
YPR094W	3.540675e-05	3.376811e-05	3.376443e-05	3.610960e-05	3.383717e-05	3.383717e-05
YDR016C	3.129289e-05	3.091541e-05	3.091245e-05	2.047273e-05	1.999848e-05	1.999848e-05
YOL129W	3.319758e-05	3.271346e-05	3.270738e-05	2.130972e-05	2.067014e-05	2.066245e-05
YDR299W	4.856669e-05	4.718834e-05	4.716305e-05	2.527201e-05	2.483903e-05	2.479912e-05
YOL116W	1.403905e-05	1.419442e-05	1.419442e-05	9.463782e-06	9.610416e-06	9.606727e-06
YBR182C	3.940192e-06	4.016617e-06	4.014793e-06	4.197727e-06	4.104019e-06	4.102156e-06
YBR280C	1.852177e-05	1.751258e-05	1.750139e-05	1.045100e-05	9.943609e-06	9.937256e-06
YNR032W	1.339656e-05	1.338117e-05	1.337622e-05	1.059050e-05	1.042765e-05	1.042380e-05
YNR045W	1.132018e-05	1.102234e-05	1.101693e-05	7.851505e-06	7.556441e-06	7.549022e-06
YML105C	4.342001e-05	4.131840e-05	4.129568e-05	2.382337e-05	2.324063e-05	2.324063e-05
YNL288W	2.148141e-05	2.151056e-05	2.150250e-05	1.572913e-05	1.559902e-05	1.559902e-05
YPL104W	3.317612e-05	3.386774e-05	3.384540e-05	2.382337e-05	2.233071e-05	2.230127e-05
YNL003C	1.942314e-05	1.851951e-05	1.852481e-05	1.207132e-05	1.169332e-05	1.168997e-05
YFR047C	3.992166e-05	3.879316e-05	3.879316e-05	2.892981e-05	2.783130e-05	2.782304e-05
YML127W	3.775139e-05	3.681580e-05	3.683727e-05	2.529347e-05	2.513519e-05	2.512054e-05
YLR188W	2.788357e-05	2.628735e-05	2.628735e-05	1.966257e-05	1.888726e-05	1.892677e-05
YGR084C	3.775139e-05	3.625206e-05	3.623970e-05	2.561539e-05	2.577954e-05	2.577075e-05
YCR002C	4.873838e-05	4.641265e-05	4.638258e-05	3.129289e-05	2.931334e-05	2.929436e-05
YLR355C	4.064721e-04	3.712945e-04	3.705581e-04	1.856482e-04	1.514725e-04	1.512320e-04
YGL157W	4.543066e-05	4.509067e-05	4.507494e-05	2.745435e-05	2.807150e-05	2.804213e-05
YGR099W	1.468289e-05	1.436679e-05	1.434698e-05	8.495343e-06	8.440950e-06	8.417665e-06
YJR093C	2.169603e-05	2.175803e-05	2.174371e-05	1.690950e-05	1.673194e-05	1.672094e-05
YLR300W	9.872227e-05	8.094076e-05	8.097718e-05	4.438443e-05	4.073890e-05	4.070227e-05
YJR140C	3.992166e-05	3.988951e-05	3.962751e-05	1.795037e-05	1.656419e-05	1.637379e-05
YOR033C	2.186772e-05	2.140317e-05	2.138811e-05	1.045100e-05	1.062174e-05	1.062922e-05
YBR043C	6.204354e-06	6.210933e-06	6.206644e-06	4.584029e-06	4.503103e-06	4.499993e-06
YLR011W	2.300784e-05	2.234404e-05	2.233973e-05	1.093388e-05	1.095109e-05	1.094897e-05
YIL044C	2.916555e-05	2.865237e-05	2.865237e-05	1.279564e-05	1.300288e-05	1.299508e-05
YDL004W	1.197954e-04	1.105866e-04	1.105687e-04	6.264158e-05	5.925969e-05	5.926929e-05
YCR046C	7.054863e-05	6.553638e-05	6.551397e-05	3.247326e-05	3.114694e-05	3.114694e-05
YLR059C	2.582463e-05	2.511548e-05	2.511548e-05	2.561539e-05	2.457501e-05	2.456835e-05
YDR507C	7.832934e-05	7.090984e-05	7.066700e-05	4.873838e-05	4.534835e-05	4.524470e-05
YOR266W	2.073027e-05	1.990246e-05	1.988556e-05	1.355617e-05	1.257148e-05	1.256080e-05
YDR421W	9.485243e-06	9.046447e-06	9.029248e-06	3.940192e-06	3.900607e-06	3.896893e-06
YGL171W	4.472781e-05	4.298014e-05	4.298014e-05	2.657578e-05	2.585386e-05	2.586850e-05
YGL215W	3.905248e-05	3.812144e-05	3.810414e-05	2.552954e-05	2.535937e-05	2.534786e-05
YGR019W	4.272302e-05	4.180966e-05	4.180966e-05	2.148141e-05	2.209320e-05	2.208275e-05
YNL080C	1.262395e-05	1.232375e-05	1.231922e-05	7.851505e-06	7.835775e-06	7.835775e-06
YOR382W	5.523108e-05	5.438012e-05	5.437169e-05	4.342001e-05	4.272918e-05	4.272255e-05
YDR022C	1.886515e-05	1.896638e-05	1.896263e-05	1.425367e-05	1.408264e-05	1.408542e-05
YPL266W	5.629878e-05	5.399009e-05	5.399009e-05	2.469255e-05	2.373511e-05	2.372752e-05
YBR296C	3.112120e-05	3.068537e-05	3.066770e-05	1.729580e-05	1.700908e-05	1.699928e-05
YER169W	2.038689e-05	1.958832e-05	1.958832e-05	1.279564e-05	1.214875e-05	1.215844e-05
YOL016C	2.070881e-05	2.043562e-05	2.042645e-05	1.149187e-05	1.123979e-05	1.123979e-05
YOR226C	3.688221e-05	3.540109e-05	3.540109e-05	3.922417e-05	3.690518e-05	3.690518e-05
YNL277W	4.085321e-05	3.901313e-05	3.895603e-05	2.235059e-05	2.227773e-05	2.228861e-05
YNL186W	1.860762e-05	1.794223e-05	1.791375e-05	1.860762e-05	1.812973e-05	1.812973e-05
YCL044C	2.820549e-05	2.800998e-05	2.798652e-05	2.148141e-05	2.004324e-05	2.003484e-05
YMR146C	6.885856e-05	6.705624e-05	6.703285e-05	4.342001e-05	4.260657e-05	4.257685e-05
YPR165W	8.066191e-05	7.537203e-05	7.537203e-05	4.307663e-05	4.135778e-05	4.137524e-05
YMR266W	1.047945e-04	8.938231e-05	8.895709e-05	3.384008e-05	3.256729e-05	3.253622e-05
YKR064W	9.485243e-06	9.083043e-06	9.075193e-06	7.508125e-06	7.412855e-06	7.412855e-06
YCR060W	3.553015e-05	3.516803e-05	3.516405e-05	2.343707e-05	2.268326e-05	2.268326e-05
YPL089C	1.572913e-05	1.551367e-05	1.550316e-05	1.630858e-05	1.508977e-05	1.507954e-05
YDL139C	1.183525e-05	1.170697e-05	1.170434e-05	1.403905e-05	1.402891e-05	1.402575e-05
YDR246W	4.374059e-05	4.201256e-05	4.200328e-05	1.973433e-05	1.954749e-05	1.954749e-05
YOR288C	4.236623e-05	3.805207e-05	3.803990e-05	1.656612e-05	1.582315e-05	1.582315e-05
YCR028C	2.762604e-05	2.710169e-05	2.711562e-05	2.012935e-05	2.023176e-05	2.023176e-05
YHR089C	9.498411e-05	8.892683e-05	8.894524e-05	3.953536e-05	3.921680e-05	3.921680e-05
YLL035W	1.925145e-05	1.913992e-05	1.910353e-05	1.502627e-05	1.441666e-05	1.442581e-05
YER007W	7.508125e-06	7.911674e-06	7.911674e-06	8.109040e-06	7.915083e-06	7.910970e-06
YOR141C	4.197993e-05	4.355917e-05	4.348228e-05	2.723974e-05	2.670770e-05	2.666056e-05
YBL106C	2.430625e-05	2.357942e-05	2.355558e-05	2.169603e-05	2.069688e-05	2.065502e-05
YGL044C	3.726851e-05	3.575086e-05	3.577218e-05	2.529347e-05	2.409767e-05	2.408332e-05
YBR038W	8.709023e-05	8.199205e-05	8.183422e-05	5.767096e-05	5.270666e-05	5.265584e-05
YDR117C	2.880641e-05	2.929895e-05	2.926573e-05	2.986572e-05	2.964863e-05	2.963183e-05
YEL047C	7.217834e-05	6.857026e-05	6.853789e-05	4.009335e-05	3.831908e-05	3.833718e-05
YPR016C	6.125197e-05	5.816597e-05	5.815160e-05	4.272302e-05	4.193315e-05	4.189173e-05
YOR208W	1.633004e-05	1.601607e-05	1.599201e-05	1.305318e-05	1.305677e-05	1.303715e-05
YDL055C	2.383690e-04	2.187592e-04	2.185210e-04	1.403106e-04	1.276453e-04	1.275063e-04
YML009C	1.372537e-04	1.234532e-04	1.234443e-04	6.380376e-05	6.075342e-05	6.074905e-05
YML072C	7.431910e-05	6.746793e-05	6.767681e-05	4.699733e-05	4.440628e-05	4.461218e-05
YDR142C	1.973433e-05	1.901046e-05	1.900329e-05	1.174941e-05	1.138676e-05	1.137818e-05
YFL044C	5.352491e-05	5.111497e-05	5.109949e-05	2.952234e-05	2.891866e-05	2.889238e-05
