"Gene > GO Annotation > Ontology Term . Name","Gene > Systematic Name","Gene > GO Annotation > Ontology Term . Namespace"
"(1->3)-beta-D-glucan biosynthetic process","YGR032W","biological_process"
"(1->3)-beta-D-glucan biosynthetic process","YLR342W","biological_process"
"(1->3)-beta-D-glucan metabolic process","YOL030W","biological_process"
"1,3-beta-D-glucan synthase activity","YGR032W","molecular_function"
"1,3-beta-D-glucan synthase activity","YLR342W","molecular_function"
"1,3-beta-D-glucan synthase complex","YGR032W","cellular_component"
"1,3-beta-D-glucan synthase complex","YLR342W","cellular_component"
"1,3-beta-D-glucan synthase complex","YPR165W","cellular_component"
"1,3-beta-glucanosyltransferase activity","YGR282C","molecular_function"
"1,3-beta-glucanosyltransferase activity","YMR215W","molecular_function"
"1,3-beta-glucanosyltransferase activity","YMR307W","molecular_function"
"1,3-beta-glucanosyltransferase activity","YOL030W","molecular_function"
"1,4-alpha-glucan branching enzyme activity","YEL011W","molecular_function"
"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity","YIL020C","molecular_function"
"(1->6)-beta-D-glucan biosynthetic process","YFR042W","biological_process"
"(1->6)-beta-D-glucan biosynthetic process","YGR143W","biological_process"
"(1->6)-beta-D-glucan biosynthetic process","YJL174W","biological_process"
"(1->6)-beta-D-glucan biosynthetic process","YOR336W","biological_process"
"(1->6)-beta-D-glucan biosynthetic process","YPR159W","biological_process"
"(1->6)-beta-D-glucan metabolic process","YJL174W","biological_process"
"18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity","YPL266W","molecular_function"
"1-acylglycerol-3-phosphate O-acyltransferase activity","YDL052C","molecular_function"
"1-acylglycerol-3-phosphate O-acyltransferase activity","YLR099C","molecular_function"
"1-acylglycerol-3-phosphate O-acyltransferase activity","YOR175C","molecular_function"
"1-acylglycerol-3-phosphate O-acyltransferase activity","YPR139C","molecular_function"
"1-acylglycerophosphocholine O-acyltransferase activity","YOR175C","molecular_function"
"1-acylglycerophosphocholine O-acyltransferase activity","YPR140W","molecular_function"
"1-phosphatidylinositol-3-kinase activity","YLR240W","molecular_function"
"1-phosphatidylinositol 4-kinase activity","YLR305C","molecular_function"
"1-phosphatidylinositol 4-kinase activity","YNL267W","molecular_function"
"1-phosphatidylinositol-4-phosphate 5-kinase activity","YDR208W","molecular_function"
"1-phosphatidylinositol binding","YAR042W","molecular_function"
"1-phosphatidylinositol binding","YCR002C","molecular_function"
"1-phosphatidylinositol binding","YDL019C","molecular_function"
"1-phosphatidylinositol binding","YGR241C","molecular_function"
"1-phosphatidylinositol binding","YHR073W","molecular_function"
"1-phosphatidylinositol binding","YHR161C","molecular_function"
"1-pyrroline-5-carboxylate dehydrogenase activity","YHR037W","molecular_function"
"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity","YGR247W","molecular_function"
"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity","YJL087C","molecular_function"
"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity","YEL038W","molecular_function"
"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase activity","YOL066C","molecular_function"
"2-acylglycerol O-acyltransferase activity","YOR245C","molecular_function"
"2-alkenal reductase [NAD(P)] activity","YBR046C","molecular_function"
"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity","YNL256W","molecular_function"
"2-aminoadipate transaminase activity","YGL202W","molecular_function"
"2-aminoadipate transaminase activity","YJL060W","molecular_function"
"2-dehydropantoate 2-reductase activity","YHR063C","molecular_function"
