#Gene	Initiation	Avg. norm. mRNA read count	Avg. norm. rib. read count	Fitness	No. of segments
YBR177C	1.92515E-005	5.02334E-007	0.000000266	113.638	29
YIL140W	3.86662E-005	4.86539E-008	4.88049E-008	28.0145	7
YLR268W	2.34371E-005	4.91302E-007	2.68582E-007	76.4101	15
YOR011W	1.40391E-005	3.42334E-008	5.12329E-009	-6.10516	3
YLR357W	1.79504E-005	1.20811E-007	5.19011E-008	49.0965	15
YJL155C	1.35562E-005	1.48435E-007	4.15219E-008	8.91806	5
YLR197W	9.70805E-005	8.63785E-007	0.000001213	121.037	35
YAL008W	4.44703E-005	1.83659E-007	0.000000154	21.2042	7
YNR028W	2.59963E-005	2.49446E-007	1.18628E-007	32.7596	10
YBR255W	1.13202E-005	5.78812E-008	1.63581E-008	-14.7907	4
YFR027W	0.000013139	5.78299E-008	1.72778E-008	6.33064	1
YJL122W	4.54307E-005	2.64567E-007	2.18743E-007	51.4562	11
YAL056W	6.92867E-006	9.50975E-008	2.05643E-008	21.0056	7
YJR122W	0.000010451	1.18314E-007	3.2247E-008	29.9245	5
YJL204C	2.01294E-005	8.56346E-008	3.02138E-008	3.97162	7
YJL093C	5.96828E-006	9.83931E-008	1.13738E-008	13.5624	2
YNL103W	1.74675E-005	8.00697E-008	3.57022E-008	30.5803	8
YPL144W	1.09339E-005	3.51082E-007	1.42624E-007	31.0879	7
YJR084W	7.52959E-006	1.37595E-007	3.72833E-008	6.15022	4
YBR135W	2.18355E-005	1.96583E-007	2.34227E-007	-25.8205	6
YDR172W	6.38038E-005	5.17632E-007	6.67227E-007	213.837	51
YBR160W	1.79504E-005	4.08132E-007	1.94608E-007	3.56682	16
YNR007C	0.000019391	9.64804E-008	5.11412E-008	12.8641	4
YJL082W	4.49639E-005	6.07117E-008	5.97227E-008	31.5917	10
YHR007C	7.04252E-005	9.36683E-007	1.08605E-006	146.417	36
YHR067W	1.33751E-005	9.10759E-008	2.45042E-008	10.0854	2
YLR395C	0.000077149	5.5428E-007	7.78055E-007	21.2026	5
YLR348C	1.79504E-005	2.41157E-007	1.13576E-007	70.8221	13
YKL074C	0.000013139	1.31258E-007	4.01821E-008	32.0374	7
YNL152W	1.24147E-005	1.3069E-007	3.55118E-008	21.1645	4
YLR382C	3.90525E-005	3.81621E-008	2.29336E-008	13.9109	5
YFL045C	5.85079E-005	2.68784E-006	2.34691E-006	90.1453	17
YFL010C	2.01294E-005	7.63869E-007	7.82226E-007	31.6228	16
YDL170W	0.000008109	1.12646E-007	1.86998E-008	14.3653	3
YIL124W	2.07303E-005	6.94215E-007	3.3542E-007	95.6673	23
YJR044C	4.91247E-005	4.75715E-007	4.93641E-007	38.7493	11
YLR219W	1.57291E-005	1.33548E-007	4.7301E-008	29.9106	11
YKL048C	1.53482E-005	4.70773E-008	1.67565E-008	14.5309	3
YMR009W	2.25652E-005	2.41345E-007	1.15399E-007	31.005	7
YOR123C	2.52935E-005	1.88451E-007	9.98292E-008	77.0895	15
YJL179W	3.70968E-005	4.02083E-007	3.39665E-007	32.3852	7
YKL183W	0.000013139	3.03218E-007	9.85454E-008	51.1232	10
YDR363W	1.40391E-005	0.000000089	2.22472E-008	13.7434	3
YFL021W	1.50263E-005	1.15688E-007	4.38891E-008	29.8029	7
YLR362W	1.59867E-005	7.87258E-008	2.46517E-008	27.4173	6
YMR283C	5.45321E-006	1.21764E-007	2.4507E-008	5.99779	4
YPL024W	1.11056E-005	1.38086E-007	2.99188E-008	12.3817	2
YKL029C	3.12929E-005	2.72188E-007	2.26276E-007	145.842	39
YKL052C	0.000013139	1.70145E-007	5.61878E-008	32.5616	6
YBR273C	3.25967E-005	1.43188E-007	1.01627E-007	64.7854	14
YHR025W	3.67105E-005	1.03738E-006	8.28232E-007	119.219	24
YAL026C	6.28777E-005	5.57398E-008	6.38127E-008	20.665	13
YOL034W	0.000013139	3.74414E-008	1.18425E-008	6.19239	4
YFR050C	3.40547E-005	7.42115E-007	6.35362E-007	63.8038	17
YBL008W	2.30078E-005	5.91761E-008	2.55738E-008	-3.15353	7
YLR447C	2.46926E-005	1.55245E-006	1.18333E-006	71.005	26
YGR089W	1.30532E-005	1.27669E-007	3.78923E-008	-10.7597	10
YGL237C	5.6249E-006	1.53222E-007	4.85443E-008	-13.3068	4
YOL058W	5.29669E-005	1.3459E-007	1.5284E-007	71.1773	14
YPR094W	3.61096E-005	1.89701E-007	1.5311E-007	14.9506	3
YDR016C	2.04727E-005	3.90867E-007	1.77169E-007	29.2281	5
YAR019C	1.27956E-005	4.01601E-008	1.24053E-008	-0.252518	4
YDR299W	0.000025272	0.000000173	9.2231E-008	50.2405	15
YOL116W	9.46378E-006	1.47616E-007	3.34746E-008	7.41129	4
YDL226C	2.07088E-005	4.56499E-007	3.17068E-007	108.951	26
YML129C	8.36048E-005	0.00000026	5.56893E-007	12.535	3
YGL257C	8.49534E-006	1.78349E-007	3.50764E-008	31.6251	7
YOR359W	3.85435E-006	1.17322E-007	4.26298E-008	-258.002	7
YNL239W	3.95354E-005	4.39577E-007	3.36789E-007	158.96	31
YDR410C	1.11056E-005	0.000000195	4.58827E-008	21.4403	4
YBR280C	0.000010451	7.00671E-008	1.83354E-008	14.9315	4
YNR032W	1.05905E-005	0.000000145	4.44415E-008	15.2426	5
YNR045W	7.85151E-006	7.35388E-008	1.52632E-008	12.9497	2
YML105C	2.38234E-005	3.98429E-007	2.27543E-007	75.4944	16
YNL288W	1.57291E-005	0.000000302	1.22184E-007	46.8125	15
YOR322C	1.33966E-005	1.33457E-007	4.29321E-008	-1.63594	11
YBR193C	1.13202E-005	2.69323E-007	0.000000085	8.7602	6
YPL104W	2.38234E-005	6.47263E-008	2.79425E-008	16.6711	6
YLR244C	3.70968E-005	1.12824E-006	7.15475E-007	148.556	29
YDR198C	0.000008109	1.43542E-007	0.000000026	-0.212144	4
YAL039C	2.55295E-005	1.8163E-007	1.33785E-007	57.5242	13
YDL200C	3.09066E-005	9.35758E-008	5.83146E-008	10.3239	3
YNL003C	1.20713E-005	2.27518E-007	7.24513E-008	21.9327	8
YCR034W	3.99217E-005	8.65215E-007	7.05711E-007	129.571	27
YFR047C	2.89298E-005	3.2881E-007	2.05503E-007	75.7278	15
YGR100W	1.65661E-005	9.88775E-008	3.90832E-008	54.0267	14
YGL092W	4.16687E-005	9.1145E-008	9.05223E-008	-32.7958	25
YER060W	1.65661E-005	1.12144E-007	3.65971E-008	36.9655	6
YOR002W	1.69095E-005	2.62607E-007	1.16163E-007	62.825	23
YDR364C	6.20435E-006	1.68223E-007	2.47311E-008	14.2863	4
YML127W	2.52935E-005	1.6769E-007	1.03473E-007	84.6124	17
YDR404C	3.22157E-005	4.31058E-007	0.000000291	49.8942	12
YLR188W	1.96626E-005	1.18503E-007	5.22046E-008	23.5161	11
YGR084C	2.56154E-005	1.86555E-007	1.06808E-007	60.6823	13
YBR069C	3.88379E-005	3.58774E-007	2.90325E-007	213.198	42
YLR355C	0.000185648	1.51591E-006	3.55765E-006	104.571	29
YGL157W	2.74543E-005	3.70934E-007	2.42722E-007	96.2685	23
YPL128C	5.73276E-005	0.000000052	7.27086E-008	25.5646	6
YJR093C	1.69095E-005	0.00000022	8.56377E-008	37.2406	8
YOL090W	6.08227E-005	7.05658E-008	8.783E-008	44.757	16
YLR300W	4.43844E-005	2.09885E-006	1.74129E-006	144.261	31
YJL091C	2.46926E-005	1.76508E-007	8.23842E-008	70.5262	15
YJR140C	1.79504E-005	3.32608E-008	2.06392E-008	-65.308	9
YOR033C	0.000010451	9.91957E-008	2.08561E-008	-6.36655	5
YBR043C	0.000004584	1.3037E-007	0.000000011	12.5509	2
YDR380W	5.45321E-006	3.37483E-007	0.000000035	-53.8157	6
YGR191W	0.000030252	3.14292E-007	1.95414E-007	147.175	35
YBR094W	1.92515E-005	1.87352E-007	6.28211E-008	72.1179	16
YDR035W	5.31386E-005	4.67296E-007	4.61778E-007	104.824	26
YMR224C	0.000006757	7.44558E-008	1.92138E-008	-50.2816	4
YDR485C	1.26722E-005	0.000000074	1.94552E-008	24.0543	5
YLR011W	1.09339E-005	1.06418E-007	3.81168E-008	9.06773	2
YIL044C	1.27956E-005	3.38377E-007	1.60142E-007	5.66604	15
YPL239W	4.96076E-005	2.71329E-007	2.73702E-007	68.2711	13
YPR183W	4.47063E-005	1.01365E-006	1.17142E-006	85.2549	19
YOR206W	3.24733E-005	2.65581E-007	1.81848E-007	163.28	42
YDL004W	6.26416E-005	0.000000594	7.17315E-007	51.6927	12
YCR046C	3.24733E-005	2.26202E-007	2.15715E-007	45.7719	9
YLR059C	2.56154E-005	2.60079E-007	1.33054E-007	66.6739	13
YOL001W	2.45937E-006	1.94357E-007	1.57423E-008	7.89269	1
YLR075W	5.26235E-005	2.24603E-005	2.12428E-005	65.4575	15
YBR054W	4.94359E-005	2.34161E-007	0.000000197	60.1602	15
YDR507C	4.87384E-005	5.72013E-008	6.03358E-008	-30.5345	13
YLR020C	1.40391E-005	1.68817E-007	5.62444E-008	59.7863	11
YLR404W	1.09339E-005	1.97638E-007	0.000000041	7.13694	4
YDL042C	1.44254E-005	1.47591E-007	5.44599E-008	19.6204	11
YOR058C	2.07303E-005	7.14231E-008	3.13289E-008	-28.8433	8
YOR266W	1.35562E-005	1.19398E-007	2.64139E-008	9.8162	3
YPL206C	2.25652E-005	2.88676E-007	1.82651E-007	47.6174	16
YOL136C	1.97343E-005	1.21892E-007	4.34926E-008	9.03914	4
YDL060W	2.41346E-005	1.78675E-007	0.000000112	101.153	30
YLR002C	2.23506E-005	1.94405E-007	9.81723E-008	103.612	23
YDR421W	3.94019E-006	0.000000059	1.36435E-008	-136.184	4
YGL171W	2.65758E-005	1.49095E-007	1.01322E-007	60.5154	14
YGL215W	2.55295E-005	1.36187E-007	8.64614E-008	29.2204	11
YNR052C	1.13202E-005	1.86825E-007	1.42643E-007	-123.641	14
YGR019W	2.14814E-005	3.08707E-007	1.25805E-007	58.6722	21
YEL032W	2.85489E-005	1.38646E-007	8.00654E-008	96.7858	25
YOL076W	0.000046611	9.52583E-008	9.67253E-008	56.5547	16
YER145C	3.92242E-005	4.41413E-007	3.24817E-007	133.859	28
YER110C	0.000191792	2.1841E-007	6.51764E-007	175.912	55
YNL080C	7.85151E-006	2.29091E-007	4.54543E-008	3.35211	5
YNL208W	5.62773E-005	1.20477E-006	0.000001366	69.4423	14
YDR022C	1.42537E-005	1.42627E-007	4.12725E-008	6.21716	2
YPL266W	2.46926E-005	2.92211E-007	2.00653E-007	61.2033	15
YOR304W	2.91655E-005	0.000000082	3.31225E-008	12.9759	13
YDL010W	2.65758E-005	0.000000211	1.43217E-007	32.979	8
YML112W	1.27956E-005	1.89497E-007	0.000000068	8.21476	6
YNL229C	2.93372E-005	2.23147E-007	1.59865E-007	58.3147	14
YER169W	1.27956E-005	7.6856E-008	2.61083E-008	9.28168	6
YOL016C	1.14919E-005	3.41218E-007	0.00000009	47.8708	15
YOR226C	3.92242E-005	3.11092E-007	3.22838E-007	4.94077	9
YMR191W	1.63086E-005	0.000000148	6.50948E-008	31.7948	7
YNL277W	2.23506E-005	6.63499E-008	0.000000031	18.3794	4
YDL146W	8.97822E-006	1.21461E-007	2.32167E-008	6.27	4
YNL186W	1.86076E-005	2.32936E-007	8.64045E-008	10.2716	20
YPR176C	1.90368E-005	2.36793E-007	0.000000088	44.4338	10
YBL063W	0.000027626	2.05092E-008	0.000000014	5.96571	3
YKR008W	2.69192E-005	0.000000152	9.38589E-008	77.2157	15
YDR123C	0.000010451	1.01501E-007	2.82463E-008	10.1309	2
YMR146C	0.00004342	0.000001191	9.73089E-007	121.659	27
YPR024W	4.63535E-005	1.42325E-007	1.48605E-007	79.7199	24
YDR226W	0.000110281	1.6045E-006	3.16145E-006	55.4408	15
YMR266W	3.38401E-005	9.58524E-008	0.000000084	61.0335	23
YDR057W	2.23506E-005	8.29108E-008	4.31956E-008	30.1428	7
YKR064W	7.50813E-006	8.1472E-008	1.57359E-008	11.1636	4
YLR097C	1.33751E-005	1.63932E-007	3.2371E-008	14.1221	3
YCR060W	2.34371E-005	2.09142E-007	1.24556E-007	14.5965	3
YPL089C	1.63086E-005	1.44777E-007	2.92181E-008	-44.5984	4
YER041W	4.19773E-006	9.55505E-008	7.47048E-009	11.4729	2
YER009W	5.18804E-005	3.65177E-006	3.59685E-006	31.7821	7
YDL155W	1.00647E-005	2.04278E-007	5.07587E-008	12.5694	8
YLR292C	3.18723E-005	4.208E-007	3.30055E-007	45.2315	12
YDL139C	1.40391E-005	8.0374E-008	2.91872E-008	9.34787	2
YDR246W	1.97343E-005	1.84441E-007	1.026E-007	16.7969	7
YOR288C	1.65661E-005	2.25876E-007	9.41918E-008	30.6139	10
YGR241C	1.14919E-005	2.27891E-007	7.75552E-008	-18.4633	16
YCR028C	2.01294E-005	1.27795E-007	5.88454E-008	36.5148	9
YLR115W	2.09663E-005	7.41045E-008	3.08571E-008	27.7476	9
YHR089C	3.95354E-005	8.59246E-007	7.63643E-007	55.2357	15
YGL014W	3.24733E-005	9.2439E-008	9.17934E-008	19.8893	19
YML043C	1.14919E-005	6.7105E-008	1.3264E-008	6.73526	2
YLL035W	1.50263E-005	8.46341E-008	2.61315E-008	25.5609	6
YER007W	0.000008109	0.000000064	0.000000011	9.09687	2
YOR141C	2.72397E-005	8.53432E-008	5.24094E-008	27.514	13
YER027C	1.44254E-005	3.34422E-007	1.8845E-007	88.2274	31
YER167W	7.50813E-006	1.08842E-007	2.32498E-008	-20.5827	6
YDL013W	9.14991E-006	0.000000119	2.07094E-008	3.3701	5
YBL106C	0.000021696	2.38525E-008	8.09973E-009	7.76551	2
YMR104C	1.50263E-005	8.73356E-008	1.88655E-008	-1.81712	4
YGL044C	2.52935E-005	1.55172E-007	9.15509E-008	28.5614	7
YKR088C	1.69095E-005	3.99474E-007	1.1164E-007	86.3669	15
YDL195W	0.00282341	1.55901E-007	3.8219E-007	-941.418	48
YNL199C	1.53482E-005	8.92286E-008	4.53125E-008	5.10323	7
YDR117C	2.98657E-005	1.5088E-007	8.04923E-008	52.7385	15
YLR120C	0.000028227	2.13179E-007	1.48889E-007	36.4025	22
YCR026C	2.34371E-005	9.6844E-008	4.77986E-008	55.0054	13
YBL052C	1.44254E-005	6.27858E-008	1.25731E-008	9.78973	3
YDL198C	3.38401E-005	3.67861E-007	2.55742E-007	94.5196	20
YEL047C	4.00934E-005	4.66244E-007	0.00000034	155.714	35
YPR036W	2.50359E-005	1.3583E-006	9.54484E-007	122.13	32
YPR016C	0.000042723	1.05682E-006	8.19665E-007	71.0438	19
YNL317W	1.27956E-005	1.86624E-007	5.33742E-008	40.4943	9
YLL019C	0.000047169	2.54345E-008	2.67753E-008	8.06153	2
YOR208W	1.30532E-005	7.53021E-008	1.19054E-008	3.36776	3
YDR068W	0.000027626	1.55179E-007	9.18411E-008	45.4755	8
